date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:39:23	894/894	---M--	200	added ('OK')	image/png	etag:%22a66c6b393d0bd3dae3774e78b1f41ecd%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/cannon_base.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/cannon_base.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:24	1229/1229	---M--	200	added ('OK')	image/png	etag:%223b46582e587e95c2ec8d494a667e6edf%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/cannon_head.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/cannon_head.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:24	199/199	---M--	200	added ('OK')	image/png	etag:%22865ea27c89dc3de4f6839225ed90a190%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/gamemode_ui.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/gamemode_ui.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:24	569/569	---M--	200	added ('OK')	image/png	etag:%22b44ec6c7e746c4f17b2ae8e80bdeca21%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/blocker.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/blocker.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:24	367/367	---M--	200	added ('OK')	image/png	etag:%224cb4bd86601c8e156bbc632c11dcd9ae%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/life_icon.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/life_icon.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:25	207/207	---M--	200	added ('OK')	image/png	etag:%22411cb8a76388107199e97513eea1d9c1%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/safety-line.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/safety-line.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:26	738/738	---M--	200	added ('OK')	image/png	etag:%2244db5eb269e28d763488eac48fd07d7e%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/knob.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/knob.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:26	85/85	---M--	200	added ('OK')	image/png	etag:%22ab69825188cbd5a986770d591dc8aab3%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/soundbar_bg.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/soundbar_bg.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:26	145/145	---M--	200	added ('OK')	image/png	etag:%223ce89a3a0a44da2a58b26c898dd15b8b%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/sound.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/sound.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:27	145/145	---M--	200	added ('OK')	image/png	etag:%223ce89a3a0a44da2a58b26c898dd15b8b%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/music.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/music.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:27	456/456	---M--	200	added ('OK')	image/png	etag:%225916cf02a4cd938337393bf570aae6b1%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/music_icon.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/music_icon.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:28	412/412	---M--	200	added ('OK')	image/png	etag:%22aebf5a36cbc6d28d5ede9ad222e2ca09%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/sound_icon.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/sound_icon.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:30	19493/19493	---M--	200	added ('OK')	image/png	etag:%22a253850852bf965874b833d6dfa0dce2%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/logo.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/logo.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:30	3572/3572	---M--	200	added ('OK')	image/png	etag:%22ef21aef7a121ba41931f7722633ca94b%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/popup.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/popup.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:31	1265/1265	---M--	200	added ('OK')	image/png	etag:%22df200799a0e6b7d851183056531f46e7%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/tutorial_box.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/tutorial_box.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:33	10703/10703	---M--	200	added ('OK')	image/jpeg	etag:%2264dbaf13cd6f919156303f3ab76108b3%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/backgrounds/mobile/background.jpg	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/backgrounds/mobile/background.jpg	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
